step,ap_id,x,y,tx_power,channel,bandwidth,noise_floor,max_throughput,allocated_throughput,duty_cycle,num_clients,inc_energy_dbm
0,0,18.333333333333336,18.333333333333336,28.872836211445275,1,20,-95.0,150.0,64.0900955961782,0.4273,5,-47.51
0,1,31.666666666666668,18.333333333333336,28.719942356406726,6,20,-95.0,150.0,150.0,1.0000,13,-42.31
0,2,18.333333333333336,31.666666666666668,26.4590900457192,11,20,-95.0,150.0,147.77235830580614,0.9851,6,-46.26
1,0,18.333333333333336,18.333333333333336,28.872836211445275,1,20,-95.0,150.0,46.21428496038144,0.3081,4,-47.13
1,1,31.666666666666668,18.333333333333336,28.719942356406726,6,20,-95.0,150.0,150.00000000000003,1.0000,14,-42.65
1,2,18.333333333333336,31.666666666666668,26.4590900457192,11,20,-95.0,150.0,147.77235830580614,0.9851,6,-43.24
2,0,18.333333333333336,18.333333333333336,28.872836211445275,1,20,-95.0,150.0,46.21428496038144,0.3081,4,-45.77
2,1,31.666666666666668,18.333333333333336,28.719942356406726,6,20,-95.0,150.0,150.00000000000003,1.0000,14,-42.26
2,2,18.333333333333336,31.666666666666668,26.4590900457192,11,20,-95.0,150.0,147.77235830580614,0.9851,6,-34.19
3,0,18.333333333333336,18.333333333333336,28.872836211445275,1,20,-95.0,150.0,46.21428496038144,0.3081,4,-43.83
3,1,31.666666666666668,18.333333333333336,28.719942356406726,6,20,-95.0,150.0,150.0,1.0000,15,-41.15
3,2,18.333333333333336,31.666666666666668,26.4590900457192,11,20,-95.0,150.0,118.00940766797729,0.7867,5,-15.74
4,0,18.333333333333336,18.333333333333336,28.872836211445275,1,20,-95.0,150.0,46.21428496038144,0.3081,4,-41.94
4,1,31.666666666666668,18.333333333333336,28.719942356406726,6,20,-95.0,150.0,150.0,1.0000,15,-39.54
4,2,18.333333333333336,31.666666666666668,26.4590900457192,11,20,-95.0,150.0,118.00940766797729,0.7867,5,-39.59
5,0,18.333333333333336,18.333333333333336,28.872836211445275,1,20,-95.0,150.0,46.21428496038144,0.3081,4,-42.17
5,1,31.666666666666668,18.333333333333336,28.719942356406726,6,20,-95.0,150.0,150.0,1.0000,15,-37.58
5,2,18.333333333333336,31.666666666666668,26.4590900457192,11,20,-95.0,150.0,118.00940766797729,0.7867,5,-45.66
6,0,18.333333333333336,18.333333333333336,28.872836211445275,1,20,-95.0,150.0,46.21428496038144,0.3081,4,-45.25
6,1,31.666666666666668,18.333333333333336,28.719942356406726,6,20,-95.0,150.0,150.0,1.0000,15,-34.56
6,2,18.333333333333336,31.666666666666668,26.4590900457192,11,20,-95.0,150.0,118.00940766797729,0.7867,5,-47.62
7,0,18.333333333333336,18.333333333333336,28.872836211445275,1,20,-95.0,150.0,46.21428496038144,0.3081,4,-47.51
7,1,31.666666666666668,18.333333333333336,28.719942356406726,6,20,-95.0,150.0,150.0,1.0000,15,-31.41
7,2,18.333333333333336,31.666666666666668,26.4590900457192,11,20,-95.0,150.0,118.00940766797729,0.7867,5,-47.90
8,0,18.333333333333336,18.333333333333336,28.872836211445275,1,20,-95.0,150.0,46.21428496038144,0.3081,4,-48.69
8,1,31.666666666666668,18.333333333333336,28.719942356406726,6,20,-95.0,150.0,150.0,1.0000,16,-32.40
8,2,18.333333333333336,31.666666666666668,26.4590900457192,11,20,-95.0,150.0,103.09855885837243,0.6873,4,-47.33
9,0,18.333333333333336,18.333333333333336,28.872836211445275,1,20,-95.0,150.0,27.276455462565025,0.1818,3,-49.28
9,1,31.666666666666668,18.333333333333336,28.719942356406726,6,20,-95.0,150.0,150.0,1.0000,17,-35.79
9,2,18.333333333333336,31.666666666666668,26.4590900457192,11,20,-95.0,150.0,103.09855885837243,0.6873,4,-45.86
10,0,18.333333333333336,18.333333333333336,28.872836211445275,1,20,-95.0,150.0,5.187691838109081,0.0346,1,-49.64
10,1,31.666666666666668,18.333333333333336,28.719942356406726,6,20,-95.0,150.0,150.0,1.0000,19,-38.20
10,2,18.333333333333336,31.666666666666668,26.4590900457192,11,20,-95.0,150.0,103.09855885837243,0.6873,4,-43.56
11,0,18.333333333333336,18.333333333333336,28.872836211445275,1,20,-95.0,150.0,5.187691838109081,0.0346,1,-49.87
11,1,31.666666666666668,18.333333333333336,28.719942356406726,6,20,-95.0,150.0,150.0,1.0000,19,-40.35
11,2,18.333333333333336,31.666666666666668,26.4590900457192,11,20,-95.0,150.0,103.09855885837243,0.6873,4,-41.66
12,0,18.333333333333336,18.333333333333336,28.872836211445275,1,20,-95.0,150.0,5.187691838109081,0.0346,1,-50.02
12,1,31.666666666666668,18.333333333333336,28.719942356406726,6,20,-95.0,150.0,150.0,1.0000,19,-42.50
12,2,18.333333333333336,31.666666666666668,26.4590900457192,11,20,-95.0,150.0,103.09855885837243,0.6873,4,-41.38
13,0,18.333333333333336,18.333333333333336,28.872836211445275,1,20,-95.0,150.0,5.187691838109081,0.0346,1,-50.12
13,1,31.666666666666668,18.333333333333336,28.719942356406726,6,20,-95.0,150.0,150.0,1.0000,19,-44.20
13,2,18.333333333333336,31.666666666666668,26.4590900457192,11,20,-95.0,150.0,103.09855885837243,0.6873,4,-41.79
14,0,18.333333333333336,18.333333333333336,28.872836211445275,1,20,-95.0,150.0,5.187691838109081,0.0346,1,-50.20
14,1,31.666666666666668,18.333333333333336,28.719942356406726,6,20,-95.0,150.0,150.0,1.0000,19,-45.44
14,2,18.333333333333336,31.666666666666668,26.4590900457192,11,20,-95.0,150.0,103.09855885837243,0.6873,4,-44.03
15,0,18.333333333333336,18.333333333333336,28.872836211445275,1,20,-95.0,150.0,5.187691838109081,0.0346,1,-50.27
15,1,31.666666666666668,18.333333333333336,28.719942356406726,6,20,-95.0,150.0,150.0,1.0000,19,-46.51
15,2,18.333333333333336,31.666666666666668,26.4590900457192,11,20,-95.0,150.0,103.09855885837243,0.6873,4,-46.15
16,0,18.333333333333336,18.333333333333336,28.872836211445275,1,20,-95.0,150.0,5.187691838109081,0.0346,1,-50.32
16,1,31.666666666666668,18.333333333333336,28.719942356406726,6,20,-95.0,150.0,150.0,1.0000,19,-47.39
16,2,18.333333333333336,31.666666666666668,26.4590900457192,11,20,-95.0,150.0,103.09855885837243,0.6873,4,-48.04
17,0,18.333333333333336,18.333333333333336,28.872836211445275,1,20,-95.0,150.0,5.187691838109081,0.0346,1,-50.37
17,1,31.666666666666668,18.333333333333336,28.719942356406726,6,20,-95.0,150.0,150.0,1.0000,19,-48.12
17,2,18.333333333333336,31.666666666666668,26.4590900457192,11,20,-95.0,150.0,103.09855885837243,0.6873,4,-49.16
18,0,18.333333333333336,18.333333333333336,28.872836211445275,1,20,-95.0,150.0,5.187691838109081,0.0346,1,-50.41
18,1,31.666666666666668,18.333333333333336,28.719942356406726,6,20,-95.0,150.0,150.0,1.0000,19,-48.64
18,2,18.333333333333336,31.666666666666668,26.4590900457192,11,20,-95.0,150.0,103.09855885837243,0.6873,4,-49.86
19,0,18.333333333333336,18.333333333333336,28.872836211445275,1,20,-95.0,150.0,5.187691838109081,0.0346,1,-50.45
19,1,31.666666666666668,18.333333333333336,28.719942356406726,6,20,-95.0,150.0,149.99999999999997,1.0000,18,-49.00
19,2,18.333333333333336,31.666666666666668,26.4590900457192,11,20,-95.0,150.0,135.97667576599048,0.9065,5,-50.22
20,0,18.333333333333336,18.333333333333336,28.872836211445275,1,20,-95.0,150.0,5.187691838109081,0.0346,1,-50.47
20,1,31.666666666666668,18.333333333333336,28.719942356406726,6,20,-95.0,150.0,149.99999999999997,1.0000,17,-49.24
20,2,18.333333333333336,31.666666666666668,26.4590900457192,11,20,-95.0,150.0,150.00000000000003,1.0000,6,-50.46
21,0,18.333333333333336,18.333333333333336,28.872836211445275,1,20,-95.0,150.0,5.187691838109081,0.0346,1,-50.48
21,1,31.666666666666668,18.333333333333336,28.719942356406726,6,20,-95.0,150.0,150.0,1.0000,18,-49.47
21,2,18.333333333333336,31.666666666666668,26.4590900457192,11,20,-95.0,150.0,124.19087714197133,0.8279,5,-50.69
22,0,18.333333333333336,18.333333333333336,28.872836211445275,1,20,-95.0,150.0,5.187691838109081,0.0346,1,-50.47
22,1,31.666666666666668,18.333333333333336,28.719942356406726,6,20,-95.0,150.0,149.99999999999994,1.0000,19,-49.59
22,2,18.333333333333336,31.666666666666668,26.4590900457192,11,20,-95.0,150.0,91.3127602343533,0.6088,4,-50.83
23,0,18.333333333333336,18.333333333333336,28.872836211445275,1,20,-95.0,150.0,5.187691838109081,0.0346,1,-50.43
23,1,31.666666666666668,18.333333333333336,28.719942356406726,6,20,-95.0,150.0,149.99999999999997,1.0000,20,-49.71
23,2,18.333333333333336,31.666666666666668,26.4590900457192,11,20,-95.0,150.0,59.400221755340716,0.3960,3,-50.93
24,0,18.333333333333336,18.333333333333336,28.872836211445275,1,20,-95.0,150.0,5.187691838109081,0.0346,1,-50.35
24,1,31.666666666666668,18.333333333333336,28.719942356406726,6,20,-95.0,150.0,149.99999999999997,1.0000,20,-49.78
24,2,18.333333333333336,31.666666666666668,26.4590900457192,11,20,-95.0,150.0,59.400221755340716,0.3960,3,-51.00
25,0,18.333333333333336,18.333333333333336,28.872836211445275,1,20,-95.0,150.0,28.65944181957113,0.1911,2,-50.19
25,1,31.666666666666668,18.333333333333336,28.719942356406726,6,20,-95.0,150.0,150.0,1.0000,18,-49.76
25,2,18.333333333333336,31.666666666666668,26.4590900457192,11,20,-95.0,150.0,89.16317239316956,0.5944,4,-51.04
26,0,18.333333333333336,18.333333333333336,28.872836211445275,1,20,-95.0,150.0,28.65944181957113,0.1911,2,-49.89
26,1,31.666666666666668,18.333333333333336,28.719942356406726,6,20,-95.0,150.0,150.00000000000003,1.0000,19,-49.69
26,2,18.333333333333336,31.666666666666668,26.4590900457192,11,20,-95.0,150.0,72.98315953422448,0.4866,3,-51.06
27,0,18.333333333333336,18.333333333333336,28.872836211445275,1,20,-95.0,150.0,44.57615489884058,0.2972,3,-49.16
27,1,31.666666666666668,18.333333333333336,28.719942356406726,6,20,-95.0,150.0,150.00000000000003,1.0000,17,-49.65
27,2,18.333333333333336,31.666666666666668,26.4590900457192,11,20,-95.0,150.0,87.89400834382934,0.5860,4,-51.07
28,0,18.333333333333336,18.333333333333336,28.872836211445275,1,20,-95.0,150.0,44.57615489884058,0.2972,3,-47.90
28,1,31.666666666666668,18.333333333333336,28.719942356406726,6,20,-95.0,150.0,150.0,1.0000,16,-49.49
28,2,18.333333333333336,31.666666666666668,26.4590900457192,11,20,-95.0,150.0,106.77606436719273,0.7118,5,-51.05
29,0,18.333333333333336,18.333333333333336,28.872836211445275,1,20,-95.0,150.0,44.57615489884058,0.2972,3,-44.73
29,1,31.666666666666668,18.333333333333336,28.719942356406726,6,20,-95.0,150.0,150.0,1.0000,16,-49.64
29,2,18.333333333333336,31.666666666666668,26.4590900457192,11,20,-95.0,150.0,106.77606436719273,0.7118,5,-51.02
30,0,18.333333333333336,18.333333333333336,28.872836211445275,1,20,-95.0,150.0,63.513984396656994,0.4234,4,-43.63
30,1,31.666666666666668,18.333333333333336,28.719942356406726,6,20,-95.0,150.0,150.0,1.0000,15,-50.00
30,2,18.333333333333336,31.666666666666668,26.4590900457192,11,20,-95.0,150.0,106.77606436719273,0.7118,5,-50.94
31,0,18.333333333333336,18.333333333333336,28.872836211445275,1,20,-95.0,150.0,63.513984396656994,0.4234,4,-46.86
31,1,31.666666666666668,18.333333333333336,28.719942356406726,6,20,-95.0,150.0,150.0,1.0000,15,-50.24
31,2,18.333333333333336,31.666666666666668,26.4590900457192,11,20,-95.0,150.0,106.77606436719273,0.7118,5,-50.80
32,0,18.333333333333336,18.333333333333336,28.872836211445275,1,20,-95.0,150.0,63.513984396656994,0.4234,4,-48.11
32,1,31.666666666666668,18.333333333333336,28.719942356406726,6,20,-95.0,150.0,150.0,1.0000,15,-50.41
32,2,18.333333333333336,31.666666666666668,26.4590900457192,11,20,-95.0,150.0,106.77606436719273,0.7118,5,-50.50
33,0,18.333333333333336,18.333333333333336,28.872836211445275,1,20,-95.0,150.0,40.04223441519495,0.2669,3,-48.22
33,1,31.666666666666668,18.333333333333336,28.719942356406726,6,20,-95.0,150.0,150.0,1.0000,15,-50.57
33,2,18.333333333333336,31.666666666666668,26.4590900457192,11,20,-95.0,150.0,130.24781434865477,0.8683,6,-49.89
34,0,18.333333333333336,18.333333333333336,28.872836211445275,1,20,-95.0,150.0,40.04223441519495,0.2669,3,-47.99
34,1,31.666666666666668,18.333333333333336,28.719942356406726,6,20,-95.0,150.0,150.0,1.0000,15,-50.71
34,2,18.333333333333336,31.666666666666668,26.4590900457192,11,20,-95.0,150.0,130.24781434865477,0.8683,6,-48.22
35,0,18.333333333333336,18.333333333333336,28.872836211445275,1,20,-95.0,150.0,40.04223441519495,0.2669,3,-48.10
