step,client_id,x,y,associated_ap,demand_mbps,sinr_db,max_rate_mbps,throughput_mbps,airtime_fraction,velocity,direction
0,0,22.03,40.04,2,34.59,45.24,300.57,33.22,0.2215,0.68,0.00
0,1,12.01,15.38,0,6.93,19.36,128.94,6.93,0.0576,1.54,0.00
0,2,40.80,12.94,1,34.71,34.75,230.86,17.80,0.1187,1.62,0.00
0,3,25.21,5.93,1,5.22,14.63,98.17,2.68,0.0178,0.57,0.00
0,4,35.48,15.01,1,7.05,27.99,186.01,3.61,0.0241,0.71,0.00
0,5,9.67,33.85,0,7.68,38.96,258.83,7.68,0.0638,1.49,0.00
0,6,18.82,38.77,2,12.21,57.45,381.66,11.73,0.0782,1.07,0.00
0,7,16.47,14.77,1,14.60,7.30,53.41,7.49,0.0499,1.23,0.00
0,8,7.47,32.65,0,23.35,37.83,251.31,23.35,0.1940,1.82,0.00
0,9,13.40,38.04,2,28.45,39.95,265.40,27.32,0.1821,0.55,0.00
0,10,35.45,32.27,1,33.80,10.82,74.20,17.33,0.1156,1.96,0.00
0,11,33.32,12.49,1,20.77,23.30,154.93,10.65,0.0710,1.19,0.00
0,12,9.76,15.09,0,21.84,20.24,134.76,21.84,0.1815,1.34,0.00
0,13,42.42,7.09,1,11.70,25.57,169.96,6.00,0.0400,1.42,0.00
0,14,9.75,44.73,0,28.90,44.19,293.60,28.90,0.2401,1.36,0.00
0,15,36.56,20.91,1,15.52,27.25,181.09,7.96,0.0531,0.97,0.00
0,16,42.37,22.81,1,18.33,30.12,200.17,9.40,0.0627,1.18,0.00
0,17,17.06,37.63,2,9.34,47.32,314.40,8.97,0.0598,1.38,0.00
0,18,10.98,18.47,0,19.78,21.53,143.26,19.78,0.1643,1.30,0.00
0,19,39.56,35.56,1,16.06,10.91,74.73,8.24,0.0549,1.30,0.00
0,20,23.73,44.24,2,19.51,37.34,248.08,18.74,0.1249,1.79,0.00
0,21,16.56,14.22,1,29.78,7.58,54.99,15.27,0.1018,1.34,0.00
0,22,40.61,35.49,1,20.55,11.58,78.90,10.54,0.0703,1.00,0.00
0,23,32.32,19.03,1,30.40,21.06,140.14,15.59,0.1039,0.98,0.00
0,24,20.57,8.29,1,8.58,11.59,78.95,4.40,0.0293,1.64,0.00
