step,source_ap,dest_ap,weight,interference_dbm,distance
0,0,1,0.0236,-52.86,6.98
0,0,2,0.0000,-60.80,12.83
0,1,0,0.0308,-47.54,6.98
0,1,2,0.0271,-56.66,14.05
0,2,0,0.0000,-56.09,12.83
0,2,1,0.0268,-57.27,14.05
1,0,1,0.0236,-52.86,6.98
1,0,2,0.0000,-60.80,12.83
1,1,0,0.0308,-47.54,6.98
1,1,2,0.0271,-56.66,14.05
1,2,0,0.0000,-56.09,12.83
1,2,1,0.0268,-57.27,14.05
2,0,1,0.0253,-52.86,6.98
2,0,2,0.0000,-60.80,12.83
2,1,0,0.0308,-47.54,6.98
2,1,2,0.0271,-56.66,14.05
2,2,0,0.0000,-56.09,12.83
2,2,1,0.0268,-57.27,14.05
3,0,1,0.0253,-52.86,6.98
3,0,2,0.0000,-60.80,12.83
3,1,0,0.0308,-47.54,6.98
3,1,2,0.0271,-56.66,14.05
3,2,0,0.0000,-56.09,12.83
3,2,1,0.0268,-57.27,14.05
4,0,1,0.0237,-52.86,6.98
4,0,2,0.0000,-60.80,12.83
4,1,0,0.0308,-47.54,6.98
4,1,2,0.0271,-56.66,14.05
4,2,0,0.0000,-56.09,12.83
4,2,1,0.0268,-57.27,14.05
5,0,1,0.0237,-52.86,6.98
5,0,2,0.0000,-60.80,12.83
5,1,0,0.0308,-47.54,6.98
5,1,2,0.0271,-56.66,14.05
5,2,0,0.0000,-56.09,12.83
5,2,1,0.0268,-57.27,14.05
6,0,1,0.0253,-52.86,6.98
6,0,2,0.0000,-60.80,12.83
6,1,0,0.0308,-47.54,6.98
6,1,2,0.0271,-56.66,14.05
6,2,0,0.0000,-56.09,12.83
6,2,1,0.0268,-57.27,14.05
7,0,1,0.0254,-52.86,6.98
7,0,2,0.0000,-60.80,12.83
7,1,0,0.0308,-47.54,6.98
7,1,2,0.0271,-56.66,14.05
7,2,0,0.0000,-56.09,12.83
7,2,1,0.0268,-57.27,14.05
8,0,1,0.0254,-52.86,6.98
8,0,2,0.0000,-60.80,12.83
8,1,0,0.0308,-47.54,6.98
8,1,2,0.0271,-56.66,14.05
8,2,0,0.0000,-56.09,12.83
8,2,1,0.0268,-57.27,14.05
9,0,1,0.0254,-52.86,6.98
9,0,2,0.0000,-60.80,12.83
9,1,0,0.0308,-47.54,6.98
9,1,2,0.0271,-56.66,14.05
9,2,0,0.0000,-56.09,12.83
9,2,1,0.0268,-57.27,14.05
10,0,1,0.0254,-52.86,6.98
10,0,2,0.0000,-60.80,12.83
10,1,0,0.0308,-47.54,6.98
10,1,2,0.0271,-56.66,14.05
10,2,0,0.0000,-56.09,12.83
10,2,1,0.0268,-57.27,14.05
11,0,1,0.0237,-52.86,6.98
11,0,2,0.0000,-60.80,12.83
11,1,0,0.0308,-47.54,6.98
11,1,2,0.0271,-56.66,14.05
11,2,0,0.0000,-56.09,12.83
11,2,1,0.0268,-57.27,14.05
12,0,1,0.0237,-52.86,6.98
12,0,2,0.0000,-60.80,12.83
12,1,0,0.0308,-47.54,6.98
12,1,2,0.0271,-56.66,14.05
12,2,0,0.0000,-56.09,12.83
12,2,1,0.0268,-57.27,14.05
13,0,1,0.0237,-52.86,6.98
13,0,2,0.0000,-60.80,12.83
13,1,0,0.0308,-47.54,6.98
13,1,2,0.0271,-56.66,14.05
13,2,0,0.0000,-56.09,12.83
13,2,1,0.0268,-57.27,14.05
14,0,1,0.0237,-52.86,6.98
14,0,2,0.0000,-60.80,12.83
14,1,0,0.0308,-47.54,6.98
14,1,2,0.0271,-56.66,14.05
14,2,0,0.0000,-56.09,12.83
14,2,1,0.0268,-57.27,14.05
15,0,1,0.0242,-52.86,6.98
15,0,2,0.0000,-60.80,12.83
15,1,0,0.0308,-47.54,6.98
15,1,2,0.0271,-56.66,14.05
15,2,0,0.0000,-56.09,12.83
15,2,1,0.0268,-57.27,14.05
16,0,1,0.0242,-52.86,6.98
16,0,2,0.0000,-60.80,12.83
16,1,0,0.0308,-47.54,6.98
16,1,2,0.0271,-56.66,14.05
16,2,0,0.0000,-56.09,12.83
16,2,1,0.0268,-57.27,14.05
17,0,1,0.0242,-52.86,6.98
17,0,2,0.0000,-60.80,12.83
17,1,0,0.0308,-47.54,6.98
17,1,2,0.0271,-56.66,14.05
17,2,0,0.0000,-56.09,12.83
17,2,1,0.0268,-57.27,14.05
18,0,1,0.0252,-52.86,6.98
18,0,2,0.0000,-60.80,12.83
18,1,0,0.0308,-47.54,6.98
18,1,2,0.0271,-56.66,14.05
18,2,0,0.0000,-56.09,12.83
18,2,1,0.0268,-57.27,14.05
19,0,1,0.0252,-52.86,6.98
19,0,2,0.0000,-60.80,12.83
19,1,0,0.0308,-47.54,6.98
19,1,2,0.0271,-56.66,14.05
19,2,0,0.0000,-56.09,12.83
19,2,1,0.0268,-57.27,14.05
20,0,1,0.0252,-52.86,6.98
20,0,2,0.0000,-60.80,12.83
20,1,0,0.0308,-47.54,6.98
20,1,2,0.0271,-56.66,14.05
20,2,0,0.0000,-56.09,12.83
20,2,1,0.0268,-57.27,14.05
21,0,1,0.0249,-52.86,6.98
21,0,2,0.0000,-60.80,12.83
21,1,0,0.0308,-47.54,6.98
21,1,2,0.0271,-56.66,14.05
21,2,0,0.0000,-56.09,12.83
21,2,1,0.0268,-57.27,14.05
22,0,1,0.0239,-52.86,6.98
22,0,2,0.0000,-60.80,12.83
22,1,0,0.0308,-47.54,6.98
22,1,2,0.0271,-56.66,14.05
22,2,0,0.0000,-56.09,12.83
22,2,1,0.0268,-57.27,14.05
23,0,1,0.0214,-52.86,6.98
23,0,2,0.0000,-60.80,12.83
23,1,0,0.0308,-47.54,6.98
23,1,2,0.0271,-56.66,14.05
23,2,0,0.0000,-56.09,12.83
23,2,1,0.0268,-57.27,14.05
24,0,1,0.0227,-52.86,6.98
24,0,2,0.0000,-60.80,12.83
24,1,0,0.0308,-47.54,6.98
24,1,2,0.0271,-56.66,14.05
24,2,0,0.0000,-56.09,12.83
24,2,1,0.0268,-57.27,14.05
25,0,1,0.0227,-52.86,6.98
25,0,2,0.0000,-60.80,12.83
25,1,0,0.0308,-47.54,6.98
25,1,2,0.0271,-56.66,14.05
25,2,0,0.0000,-56.09,12.83
25,2,1,0.0268,-57.27,14.05
26,0,1,0.0228,-52.86,6.98
26,0,2,0.0000,-60.80,12.83
26,1,0,0.0308,-47.54,6.98
26,1,2,0.0271,-56.66,14.05
26,2,0,0.0000,-56.09,12.83
26,2,1,0.0268,-57.27,14.05
27,0,1,0.0254,-52.86,6.98
27,0,2,0.0000,-60.80,12.83
27,1,0,0.0308,-47.54,6.98
27,1,2,0.0271,-56.66,14.05
27,2,0,0.0000,-56.09,12.83
27,2,1,0.0268,-57.27,14.05
28,0,1,0.0254,-52.86,6.98
28,0,2,0.0000,-60.80,12.83
28,1,0,0.0308,-47.54,6.98
28,1,2,0.0271,-56.66,14.05
28,2,0,0.0000,-56.09,12.83
28,2,1,0.0268,-57.27,14.05
29,0,1,0.0254,-52.86,6.98
29,0,2,0.0000,-60.80,12.83
29,1,0,0.0308,-47.54,6.98
29,1,2,0.0271,-56.66,14.05
29,2,0,0.0000,-56.09,12.83
29,2,1,0.0268,-57.27,14.05
30,0,1,0.0261,-52.86,6.98
30,0,2,0.0000,-60.80,12.83
30,1,0,0.0308,-47.54,6.98
30,1,2,0.0271,-56.66,14.05
30,2,0,0.0000,-56.09,12.83
30,2,1,0.0268,-57.27,14.05
31,0,1,0.0273,-52.86,6.98
31,0,2,0.0000,-60.80,12.83
31,1,0,0.0308,-47.54,6.98
31,1,2,0.0271,-56.66,14.05
31,2,0,0.0000,-56.09,12.83
31,2,1,0.0268,-57.27,14.05
32,0,1,0.0282,-52.86,6.98
32,0,2,0.0000,-60.80,12.83
32,1,0,0.0308,-47.54,6.98
32,1,2,0.0271,-56.66,14.05
32,2,0,0.0000,-56.09,12.83
32,2,1,0.0268,-57.27,14.05
33,0,1,0.0282,-52.86,6.98
