step,client_id,from_ap,to_ap,client_x,client_y
0,0,,5,34.48,24.63
0,1,,2,10.45,40.05
0,2,,6,42.42,15.02
0,3,,0,13.65,19.52
0,4,,1,5.26,36.28
0,5,,6,43.54,9.55
0,6,,2,20.55,44.04
0,7,,0,14.22,11.43
0,8,,3,31.41,12.77
0,9,,6,42.74,24.24
0,10,,2,17.48,43.63
0,11,,6,38.79,26.73
0,12,,6,44.09,30.49
0,13,,2,26.53,33.80
1,4,1,0,6.31,36.39
1,13,2,4,28.42,33.41
2,0,5,6,38.00,25.14
2,13,4,5,30.21,32.63
4,8,3,6,34.96,14.28
5,3,0,3,18.91,17.22
5,4,0,2,10.09,38.16
5,7,0,3,19.48,13.88
7,13,5,6,39.43,32.50
12,6,2,5,28.73,46.50
14,10,2,4,28.35,35.08
15,10,4,5,29.34,35.24
17,0,6,5,34.93,22.13
17,6,5,6,32.78,46.40
18,0,5,4,33.11,22.43
19,7,3,4,30.03,20.99
21,3,3,6,36.06,6.63
22,4,2,5,29.19,37.95
22,11,6,3,33.99,12.29
23,1,2,5,28.19,46.20
23,7,4,6,34.81,21.01
24,0,4,2,23.86,29.64
24,10,5,6,38.28,30.70
25,2,6,3,34.65,13.31
28,1,5,6,32.78,45.67
28,13,6,3,34.24,10.40
29,4,5,6,36.77,41.77
32,2,3,4,32.69,18.00
34,8,6,3,34.90,3.44
36,0,2,0,9.04,43.69
36,2,4,6,34.99,19.82
36,5,6,5,37.06,36.87
37,11,3,1,19.38,24.13
38,11,1,2,19.47,25.77
42,0,0,2,10.67,48.63
44,8,3,0,22.74,2.89
45,3,6,3,34.16,10.81
46,7,6,3,34.23,12.74
47,13,3,0,17.29,19.84
49,10,6,3,34.87,8.70
52,4,6,5,37.38,36.70
52,12,6,5,34.46,43.21
55,3,3,0,19.16,10.71
55,7,3,0,23.56,0.79
57,4,5,6,38.63,33.13
57,5,5,2,27.76,49.31
59,0,2,5,29.00,37.37
59,12,5,6,37.98,35.90
60,10,3,0,17.35,16.11
61,6,6,5,35.33,41.15
62,11,2,5,28.61,38.23
65,0,5,6,37.57,39.26
69,1,6,5,29.81,46.77
70,11,5,6,39.65,30.13
78,13,0,2,10.61,39.86
79,8,0,1,15.02,21.57
80,3,0,2,9.86,37.17
82,6,5,4,31.23,28.47
82,8,1,3,19.84,22.82
83,7,0,2,9.22,42.64
84,10,0,1,12.28,27.90
84,12,6,5,36.03,25.22
86,10,1,2,14.16,29.64
86,11,6,5,34.53,23.22
87,8,3,4,27.97,23.16
87,11,5,4,32.79,22.74
88,1,5,4,33.21,22.72
88,12,5,4,32.34,26.77
88,13,2,1,16.29,26.65
91,6,4,3,27.13,22.94
91,11,4,3,25.54,24.35
92,1,4,3,33.02,17.31
92,5,2,1,18.08,25.39
92,8,4,5,34.50,22.35
93,8,5,6,35.66,22.09
93,9,6,5,37.36,34.08
93,11,3,2,21.60,24.70
93,13,1,0,16.97,19.11
94,1,3,6,34.76,14.99
94,2,6,5,31.97,45.47
95,11,2,1,17.92,23.98
96,12,4,2,25.17,29.88
97,7,2,6,28.26,49.76
98,0,6,4,34.14,21.98
98,5,1,0,17.07,20.30
98,11,1,0,12.49,22.46
99,10,2,4,27.55,32.15
100,2,5,2,27.83,39.74
104,0,4,3,24.73,24.76
104,3,2,3,22.68,25.03
106,0,3,2,21.45,25.03
108,0,2,1,18.38,24.78
109,3,3,0,17.92,16.87
109,12,2,1,14.31,28.22
110,9,5,2,27.75,35.93
112,0,1,0,13.17,20.83
116,10,4,6,34.75,20.34
116,12,1,0,13.53,22.03
117,6,3,6,35.68,10.07
122,1,6,3,34.54,12.84
124,4,6,5,36.68,39.60
124,11,0,3,23.36,3.78
126,8,6,5,37.45,27.50
129,4,5,6,37.95,36.65
130,2,2,0,9.01,41.54
132,12,0,3,20.74,7.83
133,1,3,0,18.63,15.66
135,3,0,3,22.15,5.92
136,11,3,6,36.49,11.01
136,12,3,0,22.99,3.08
139,12,0,3,25.40,0.00
140,8,5,4,28.17,35.76
141,7,6,3,35.11,7.46
141,8,4,2,27.35,36.52
143,3,3,6,36.69,2.20
145,0,0,3,19.49,13.75
146,9,2,0,9.80,49.81
149,13,0,2,10.37,48.06
152,7,3,6,36.09,5.97
152,12,3,6,36.11,11.47
153,0,3,4,28.57,24.03
156,0,4,5,33.08,25.91
156,8,2,0,9.70,33.13
158,11,6,4,34.16,21.41
159,0,5,6,38.13,27.48
162,11,4,3,28.57,21.22
164,1,0,2,10.32,48.73
164,2,0,1,11.43,28.13
164,10,6,3,35.45,0.51
165,3,6,3,33.91,14.31
166,4,6,5,35.41,23.42
168,4,5,4,33.91,22.51
169,13,2,5,28.31,38.09
170,3,3,4,30.93,20.63
172,11,3,0,18.00,12.74
174,0,6,5,36.83,28.53
174,4,4,3,29.68,19.84
175,6,6,4,33.60,17.93
176,3,4,5,32.63,27.85
177,6,4,3,32.45,17.17
178,12,6,3,34.69,6.42
179,0,5,4,29.50,30.81
182,0,4,2,25.80,33.51
183,1,2,4,24.94,25.66
183,2,1,0,17.57,20.20
189,1,4,5,34.76,23.93
190,1,5,6,36.45,23.77
191,13,5,6,36.84,24.57
194,3,5,6,29.22,49.36
196,6,3,0,18.80,12.70
198,0,2,0,9.04,47.42
198,3,6,5,30.79,46.63
198,4,3,0,21.89,3.94
199,7,6,4,34.31,20.30
199,10,3,4,31.41,19.34
199,13,6,3,33.68,16.08
201,7,4,3,31.25,18.96
203,3,5,6,35.48,42.04
206,11,0,3,22.18,4.65
206,12,3,0,18.42,13.68
207,5,0,2,9.74,44.67
210,7,3,0,17.67,18.35
212,7,0,1,16.42,21.15
215,1,6,3,34.81,5.48
218,0,0,2,10.88,48.42
218,2,0,3,22.54,5.12
218,7,1,0,10.12,28.71
219,10,4,2,25.35,28.97
219,11,3,4,33.15,19.02
220,8,0,3,19.07,19.74
222,11,4,5,35.03,22.84
225,11,5,6,37.30,26.15
226,1,3,0,18.11,16.62
228,3,6,5,35.57,41.46
228,8,3,4,30.25,21.74
230,11,6,5,38.04,32.92
231,11,5,6,38.25,34.21
232,7,0,2,10.87,41.55
232,8,4,5,35.02,22.87
233,5,2,4,28.20,33.31
233,8,5,6,36.18,22.79
234,2,3,4,28.28,23.01
234,3,5,2,27.95,36.50
234,11,6,5,37.18,38.25
235,11,5,6,36.77,39.51
238,10,2,1,15.74,27.52
239,2,4,5,33.28,26.98
240,13,3,1,19.23,22.19
241,0,2,4,27.88,35.50
241,4,0,2,11.18,33.50
242,5,4,3,30.31,19.24
242,6,0,3,23.00,3.41
243,9,0,1,12.65,23.46
244,7,2,5,29.06,37.13
245,2,5,6,38.69,33.09
245,3,2,0,10.98,32.53
245,10,1,0,11.37,25.74
246,0,4,5,30.62,30.86
250,9,1,2,12.88,30.12
250,13,1,2,13.25,30.81
251,7,5,6,38.13,31.00
253,0,5,6,36.21,23.77
255,5,3,0,23.22,0.18
258,6,3,4,32.33,18.35
259,1,0,3,22.19,5.44
259,3,0,1,13.06,28.87
260,3,1,2,14.96,29.40
262,6,4,5,33.21,25.17
263,11,6,5,38.00,30.43
266,13,2,5,28.42,42.42
267,3,2,4,27.65,34.22
267,4,2,1,15.28,28.09
267,11,5,4,31.37,28.96
268,3,4,5,29.16,35.49
269,2,6,5,37.48,30.45
270,6,5,6,38.84,37.77
270,7,6,5,36.90,29.79
271,1,3,4,24.95,25.66
271,11,4,2,25.02,32.27
271,13,5,6,33.55,44.79
272,4,1,0,14.03,21.16
273,3,5,6,37.72,38.21
274,2,5,4,33.44,23.70
274,7,5,4,31.84,26.88
275,1,4,5,31.45,29.12
276,9,2,0,9.05,44.47
277,2,4,3,28.65,21.38
279,0,6,3,35.20,2.95
279,1,5,6,39.11,28.91
279,7,4,3,28.35,20.29
282,11,2,0,8.35,43.58
284,6,6,5,37.68,33.19
286,2,3,0,18.66,9.03
288,7,3,0,18.52,12.27
289,6,5,4,32.30,26.40
293,6,4,3,25.89,24.42
294,8,6,3,34.46,12.32
295,3,6,5,28.88,48.22
296,1,6,4,32.68,18.49
296,3,5,2,27.18,48.35
296,6,3,2,20.71,24.65
297,1,4,3,30.92,18.81
297,6,2,1,18.91,24.33
299,5,0,2,9.43,43.70
301,6,1,0,11.98,23.14
303,0,3,2,19.32,25.03
305,1,3,0,17.68,14.48
307,3,2,0,8.80,42.90
307,9,0,2,10.08,48.14
311,2,0,3,18.93,17.07
312,4,0,1,12.09,25.17
313,0,2,4,27.72,35.35
313,8,3,2,21.46,24.64
313,13,6,5,32.13,45.07
314,0,4,5,29.32,35.10
315,4,1,0,11.32,29.05
317,12,0,2,11.45,49.15
318,10,0,1,14.66,22.66
319,2,3,4,32.53,20.12
319,3,0,2,10.46,41.65
319,6,0,3,19.83,13.91
320,0,5,6,38.41,32.47
321,2,4,6,35.48,22.14
321,7,0,1,12.48,28.63
322,7,1,2,13.88,29.82
323,10,1,2,14.68,29.81
326,9,2,5,28.51,44.19
327,1,0,3,19.61,14.42
329,3,2,1,17.97,25.66
329,6,3,6,35.95,7.44
331,13,5,6,36.74,24.02
332,3,1,0,18.12,19.97
335,3,0,3,19.44,14.43
335,5,2,3,22.37,24.82
335,9,5,6,37.96,38.59
337,11,0,3,22.56,4.60
339,12,2,4,27.39,31.51
340,0,6,3,33.91,11.62
343,1,3,6,36.01,11.05
344,5,3,4,30.10,20.48
346,10,2,5,28.27,43.02
347,3,3,6,36.39,3.00
347,11,3,6,36.37,5.14
348,5,4,3,33.23,17.29
348,7,2,0,9.58,31.58
348,12,4,3,32.37,17.30
350,0,3,2,20.10,23.99
350,5,3,6,34.79,15.84
351,2,6,5,29.21,47.70
354,6,6,5,37.42,34.99
354,9,6,5,37.15,37.79
355,2,5,2,27.85,42.82
356,6,5,6,37.54,38.98
361,9,5,2,27.50,42.45
363,0,2,0,8.30,44.44
363,10,5,6,35.89,22.58
365,2,2,4,26.00,29.71
365,6,6,5,33.68,44.35
365,8,2,4,25.30,26.83
366,11,6,3,34.92,0.57
369,2,4,3,24.38,24.13
369,12,3,4,29.74,21.15
371,4,0,3,19.56,11.67
371,6,5,2,27.78,36.33
373,8,4,5,33.51,24.49
373,11,3,0,23.76,1.50
373,12,4,5,31.89,28.51
374,3,6,3,34.75,10.88
375,0,0,2,10.89,44.82
376,2,3,0,18.30,16.60
376,8,5,6,36.31,22.42
376,12,5,4,28.47,33.11
377,12,4,2,26.96,34.42
380,9,2,5,28.30,37.67
381,5,6,3,35.22,4.95
382,6,2,1,14.68,27.95
383,4,3,6,36.45,1.56
385,6,1,0,12.00,23.15
386,0,2,5,28.82,38.78
391,12,2,0,9.30,48.38
392,9,5,6,37.08,25.36
392,13,6,5,37.26,28.42
393,0,5,6,38.56,30.47
394,3,3,0,19.60,9.50
396,5,3,0,22.16,3.12
397,13,5,4,31.43,28.47
401,5,0,3,24.33,2.23
402,13,4,2,25.14,29.49
404,4,6,4,33.23,19.65
405,11,0,3,21.52,6.70
408,8,6,3,35.47,5.23
409,1,6,5,32.03,45.31
410,0,6,5,34.68,21.57
411,0,5,4,32.68,21.53
412,4,4,2,26.72,33.57
414,1,5,2,27.58,39.87
415,0,4,3,25.42,24.55
415,11,3,6,36.86,3.30
417,0,3,2,21.59,24.68
419,0,2,1,17.74,23.95
419,2,0,1,17.89,20.31
419,10,6,5,37.21,37.69
421,2,1,3,19.39,21.89
422,0,1,0,11.89,24.15
422,6,0,2,11.92,35.14
423,5,3,2,23.12,25.72
424,10,5,6,34.82,43.37
427,3,0,3,21.42,8.32
428,1,2,0,11.30,30.81
428,2,3,4,25.65,25.40
431,4,2,4,27.97,35.09
431,9,6,3,35.41,7.36
431,12,0,3,24.97,2.49
432,4,4,5,29.50,34.11
433,8,3,4,25.68,25.16
435,2,4,5,31.95,28.32
435,6,2,5,28.19,48.18
436,5,2,0,8.64,38.46
436,6,5,6,29.04,49.44
436,8,4,2,23.75,27.00
436,10,6,5,32.43,44.39
436,13,2,5,28.49,40.77
437,4,5,6,38.28,34.19
439,0,0,3,19.01,17.81
440,3,3,4,26.29,25.26
440,11,6,5,35.87,24.89
441,7,0,1,14.44,22.51
443,6,6,5,34.39,42.85
443,10,5,2,27.51,38.26
444,2,5,6,38.79,31.17
444,12,3,6,34.68,15.92
445,7,1,3,19.45,22.00
446,3,4,5,29.26,33.75
446,13,5,6,37.90,36.97
448,8,2,1,13.77,28.59
450,0,3,6,35.85,7.98
450,5,0,2,10.53,43.26
451,4,6,5,36.62,36.49
451,8,1,0,10.89,27.36
453,11,5,2,27.45,38.19
454,6,5,6,37.66,27.89
455,3,5,2,27.96,46.55
456,4,5,2,26.82,35.51
457,9,3,0,20.90,6.43
457,10,2,0,11.05,31.22
459,7,3,6,35.24,14.57
461,1,0,3,19.47,15.71
463,4,2,1,16.07,27.10
467,4,1,0,13.06,20.30
470,11,2,0,9.77,48.69
471,0,6,5,34.13,23.43
471,5,2,1,17.45,26.37
472,0,5,4,32.20,23.94
473,3,2,0,8.27,45.39
475,5,1,0,17.78,19.41
475,6,6,3,34.89,0.00
477,0,4,2,23.40,28.02
477,10,0,2,12.39,32.14
479,1,3,6,34.55,14.79
485,8,0,3,20.39,12.28
486,6,3,6,34.81,15.46
486,7,6,4,34.37,20.33
488,7,4,3,32.04,18.45
490,5,0,3,22.01,5.12
491,4,0,3,19.33,13.39
496,3,0,2,10.19,48.32
496,8,3,4,28.20,22.22
498,7,3,0,19.59,9.76
499,9,0,3,21.30,6.54
499,10,2,0,9.14,44.11
500,4,3,6,35.58,15.53
500,5,3,4,29.91,21.12
501,0,2,0,9.28,34.76
504,8,4,5,31.33,31.16
506,5,4,2,24.93,31.04
509,6,6,5,35.34,41.95
514,3,2,6,28.15,50.00
514,8,5,6,37.44,40.42
515,6,5,2,27.48,44.39
515,13,6,5,37.11,37.64
516,13,5,6,36.89,39.26
517,5,2,6,27.63,50.00
518,5,6,2,27.47,48.26
